Title, Company, Location, Summary, URL, Day_posted
Senior Software Engineer - Notifications,Github,remote,  Collaborating with design  analytics  support  and product management to understand the problems we want to solve and exploring how we can solve them.,https://www.indeed.com/viewjob?jk=b832a4c1a787f393&fccid=c594c442f5397e7b&vjs=3,Just posted
Software Developer,PHOENIX,remote,  The successful candidate will work with other technologists and business experts in a Scrum Agile team to create new products  business process improvements …,,Just posted
Ruby on Rails Engineer,Memory AS,remote,  3+ years of experience in Ruby on Rails and MySQL. Worked with Sidekiq  Redis  Memcached  Git. Integrated with 3rd party API’s and OAuth2.,https://www.indeed.com/viewjob?jk=c52e56757bbb9e3d&fccid=e822fb394bd314e6&vjs=3,Today
Remote Senior Site Reliability Engineer,Policygenius,remote,  Policygenius continues to disrupt the insurance industry by delivering innovative technology-driven experiences. 401(k) plan  FSA & commuter benefits.,,Today
Software Engineer: Remote,Hireology,remote,  We have regular company-wide events  semi-annual team gatherings  and frequent celebrations when we hit our goals. Familiar with service-oriented architecture.,https://www.indeed.com/viewjob?jk=5e9dbd66aeabba4f&fccid=0910eabf28e938c6&vjs=3,Today
Remote Senior Software Engineer - Full Stack/Backend,Policygenius,remote,  Policygenius continues to disrupt the insurance industry by delivering innovative technology-driven experiences. You have a proven track record of mentorship.,,Today
Principal Applications Engineer,Kos Media LLC,remote,  You will be hands-on and will actively collaborate with a team of 11 to guide projects  implement best practice solutions  champion the elimination of technical…,https://www.indeed.com/viewjob?jk=c622f86a5025a659&fccid=55dee6f8aa45f3cb&vjs=3,Today
Java Senior Software Engineer (remote/onsite/hybrid),NextCapital,remote,  NextCapital partners with world-class institutions to deliver personalized planning and managed accounts to individual investors  whether they’re saving for…,https://www.indeed.com/viewjob?jk=827ff930e2a7a38d&fccid=0773006c750213c6&vjs=3,Today
Ruby on Rails Developer,Piper Companies,remote,  The position will play an integral role in the build-out of a fully automated sample tracking solution to scale the largest Covid Testing Lab in the country.,https://www.indeed.com/viewjob?jk=5ed2135ce47ed1a6&fccid=fc68da685e8aa986&vjs=3,Today
DevOps Engineer,Onit,remote,  Build and maintain infrastructure as code to provision infrastructure using several tools: Chef  CloudFormation  Packer  …. 3+ years of relevant experience.,https://www.indeed.com/viewjob?jk=e659c71cfc657b8b&fccid=9019d8d6f16ee198&vjs=3,Today
Webmaster/Web Developer,DepressionForums.org,remote,  Write well designed  testable  efficient code by using best software development practices. Create website layout/user interface by using standard HTML/CSS…,,Active 3 days ago
Senior Full Stack Developer,DoubleGDP,remote,  We are looking for programmers with strong experience in Ruby and React. Compile and analyze data  processes  and codes to troubleshoot problems and identify…,,Active 2 days ago
Senior Ruby On Rails Developer,Entrision,remote,  Develop and submit clean  well-structured code on our ruby on rails projects. As a member of our consulting team  you will work in collaboration with other…,,Active 2 days ago
Ruby on Rails Engineer  Internal Tooling,Retail Zipline,remote,  You have a strong understanding of systems architecture  database design  and the ruby language. You're helping customers  ringing up orders  and trying to do…,https://www.indeed.com/viewjob?jk=c5f550aa871d4b3c&fccid=a293a307c8dfd4a8&vjs=3,Active 7 days ago
Mid-Sr. Level Ruby on Rails Engineer,Pinnacle Allinaces,remote,  Client: based in Bethesda MD  is revolutionizing hotel operations through mobile optimized property management solutions. Secondary – Python  Jira  Git Hub*.,,Active 7 days ago
Full Stack Developer Ruby  Angular (Four day work week!),ToMarket,remote,  Ruby on rails: 3 years (Required). ToMarket's online platform connects food/bev purveyors to chefs with tools that put communication  ordering  and marketing…,,Active today
Full Stack Developer,entomo Inc,remote,  In addition  you will work closely with internal and external clients to understand the business needs and then work closely with their UX  product and…,,Active 7 days ago
Senior Ruby on Rails Developer,Legit Fish  Inc,remote,  We ensure that the seafood is accurately identified and labeled from the water to the consumer!s plate. This supply chain transparency provides significant…,,Active 8 days ago
Senior Ruby/ROR back-end engineer – Long Term Contract – 100...,Right Skale Inc.,remote,  We are looking to hire 2 senior Engineers to work on a long term contract with our client. Project is a long term contract and will be for 2+ years.,,Active 2 days ago
Web Application Developer-Ruby Required-CM,Gridiron IT,remote,  $88 000-$100 000 Salary for 2+ years of experience. $110 000-$130 000 for 5+ years of experience. Utilizing Ruby skills across four applications to include…,,Active 2 days ago
Full Stack Developer,entomo Inc,remote,  In addition  you will work closely with internal and external clients to understand the business needs and then work closely with their UX  product and…,,Active 7 days ago
Senior Ruby on Rails Developer,Legit Fish,remote,  We ensure that the seafood is accurately identified and labeled from the water to the consumer!s plate. This supply chain transparency provides significant…,,Active 10 days ago
Senior Ruby/ROR back-end engineer – Long Term Contract – 100...,Right Skale Inc.,remote,  We are looking to hire 2 senior Engineers to work on a long term contract with our client. Project is a long term contract and will be for 2+ years.,,Active 2 days ago
Web Application Developer-Ruby Required-CM,Gridiron IT,remote,  $88 000-$100 000 Salary for 2+ years of experience. $110 000-$130 000 for 5+ years of experience. Utilizing Ruby skills across four applications to include…,,Active 2 days ago
Ruby Developer,Gridiron IT,remote,  Must be eligible to work in US without sponsorship. *. Utilizing Ruby skills across four applications to include making enhancements to existing websites.,,Active 2 days ago
Senior Mobile Application Developer,Retail Zipline,remote,  You're helping customers  ringing up orders  and trying to do the 30 tasks that HQ wants you to do. You will be working with our fantastic engineers to develop…,https://www.indeed.com/viewjob?jk=a34b1b57fd99dc7a&fccid=a293a307c8dfd4a8&vjs=3,Active 9 days ago
